parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_state[SE, 2018-09-30 00:00:00]",-0.802,0.553,-1.832,0.213,0.01,0.006,2971.0,4317.0,1.0
"z_state[SE, 2018-10-07 00:00:00]",-0.721,0.543,-1.729,0.279,0.01,0.006,2935.0,4053.0,1.0
"z_state[SE, 2018-10-14 00:00:00]",-0.745,0.545,-1.791,0.264,0.01,0.006,3126.0,3780.0,1.0
"z_state[SE, 2018-10-21 00:00:00]",-0.72,0.546,-1.755,0.297,0.01,0.006,2981.0,4121.0,1.0
"z_state[SE, 2018-10-28 00:00:00]",-0.756,0.553,-1.839,0.234,0.01,0.006,3011.0,3943.0,1.0
"z_state[SE, 2018-11-04 00:00:00]",-0.746,0.551,-1.766,0.284,0.01,0.006,3121.0,4252.0,1.0
"z_state[SE, 2018-11-11 00:00:00]",-0.725,0.542,-1.758,0.264,0.01,0.006,3073.0,3938.0,1.0
"z_state[SE, 2018-11-18 00:00:00]",-0.688,0.533,-1.728,0.276,0.01,0.006,2990.0,4118.0,1.0
"z_state[SE, 2018-11-25 00:00:00]",-0.672,0.53,-1.754,0.258,0.01,0.006,2929.0,4084.0,1.0
"z_state[SE, 2018-12-02 00:00:00]",-0.679,0.532,-1.663,0.345,0.01,0.006,3029.0,3920.0,1.0
"z_state[SE, 2018-12-09 00:00:00]",-0.75,0.54,-1.746,0.267,0.01,0.006,3022.0,4018.0,1.0
"z_state[SE, 2018-12-16 00:00:00]",-0.764,0.545,-1.8,0.242,0.01,0.006,3034.0,4312.0,1.0
"z_state[SE, 2018-12-23 00:00:00]",-0.758,0.546,-1.747,0.304,0.01,0.006,3121.0,4450.0,1.0
"z_state[SE, 2018-12-30 00:00:00]",-0.702,0.537,-1.718,0.289,0.01,0.006,3089.0,3799.0,1.0
"z_state[SE, 2019-01-06 00:00:00]",-0.705,0.538,-1.715,0.308,0.01,0.006,3013.0,3672.0,1.0
"z_state[SE, 2019-01-13 00:00:00]",-0.674,0.526,-1.655,0.301,0.009,0.006,3124.0,4071.0,1.0
"z_state[SE, 2019-01-20 00:00:00]",-0.664,0.526,-1.654,0.297,0.009,0.006,3137.0,4474.0,1.0
"z_state[SE, 2019-01-27 00:00:00]",-0.667,0.521,-1.649,0.311,0.009,0.006,3163.0,4397.0,1.0
"z_state[SE, 2019-02-03 00:00:00]",-0.61,0.516,-1.601,0.327,0.009,0.006,3093.0,4208.0,1.0
"z_state[SE, 2019-02-10 00:00:00]",-0.638,0.518,-1.632,0.299,0.009,0.005,3078.0,4393.0,1.0
"z_state[SE, 2019-02-17 00:00:00]",-0.631,0.519,-1.579,0.358,0.009,0.006,3021.0,4213.0,1.0
"z_state[SE, 2019-02-24 00:00:00]",-0.64,0.52,-1.593,0.338,0.01,0.006,2904.0,4327.0,1.0
"z_state[SE, 2019-03-03 00:00:00]",-0.596,0.518,-1.574,0.351,0.01,0.006,2831.0,4257.0,1.0
"z_state[SE, 2019-03-10 00:00:00]",-0.541,0.512,-1.58,0.365,0.01,0.005,2767.0,4232.0,1.0
"z_state[SE, 2019-03-17 00:00:00]",-0.455,0.511,-1.401,0.516,0.01,0.006,2840.0,4166.0,1.0
"z_state[SE, 2019-03-24 00:00:00]",-0.415,0.514,-1.414,0.512,0.01,0.006,2853.0,4410.0,1.0
"z_state[SE, 2019-03-31 00:00:00]",-0.328,0.517,-1.318,0.622,0.01,0.006,2927.0,4020.0,1.0
"z_state[SE, 2019-04-07 00:00:00]",-0.257,0.516,-1.251,0.691,0.01,0.006,2931.0,3597.0,1.0
"z_state[SE, 2019-04-14 00:00:00]",-0.119,0.513,-1.115,0.836,0.01,0.006,2843.0,3985.0,1.0
"z_state[SE, 2019-04-21 00:00:00]",0.123,0.499,-0.785,1.076,0.01,0.006,2640.0,3752.0,1.0
"z_state[SE, 2019-04-28 00:00:00]",0.413,0.487,-0.545,1.285,0.009,0.005,2644.0,3740.0,1.0
"z_state[SE, 2019-05-05 00:00:00]",0.706,0.479,-0.207,1.589,0.009,0.006,2638.0,3915.0,1.0
"z_state[SE, 2019-05-12 00:00:00]",0.792,0.489,-0.123,1.716,0.009,0.006,2675.0,3637.0,1.0
"z_state[SE, 2019-05-19 00:00:00]",0.864,0.486,-0.053,1.754,0.009,0.006,2627.0,3723.0,1.0
"z_state[SE, 2019-05-26 00:00:00]",0.974,0.49,0.078,1.928,0.01,0.005,2660.0,3913.0,1.0
"z_state[SE, 2019-06-02 00:00:00]",1.102,0.488,0.181,2.014,0.009,0.005,2662.0,3288.0,1.0
"z_state[SE, 2019-06-09 00:00:00]",1.278,0.481,0.285,2.117,0.01,0.005,2551.0,3853.0,1.0
"z_state[SE, 2019-06-16 00:00:00]",1.543,0.472,0.665,2.432,0.009,0.005,2605.0,3895.0,1.0
"z_state[SE, 2019-06-23 00:00:00]",1.637,0.476,0.705,2.518,0.009,0.006,2612.0,3803.0,1.0
"z_state[SE, 2019-06-30 00:00:00]",1.664,0.474,0.753,2.531,0.009,0.006,2624.0,3844.0,1.0
"z_state[SE, 2019-07-07 00:00:00]",1.668,0.471,0.767,2.528,0.009,0.006,2523.0,3597.0,1.0
"z_state[SE, 2019-07-14 00:00:00]",1.509,0.478,0.653,2.444,0.009,0.006,2746.0,3448.0,1.0
"z_state[SE, 2019-07-21 00:00:00]",1.397,0.486,0.5,2.316,0.009,0.006,2796.0,3223.0,1.0
"z_state[SE, 2019-07-28 00:00:00]",1.356,0.485,0.445,2.276,0.009,0.005,2887.0,3653.0,1.0
"z_state[SE, 2019-08-04 00:00:00]",1.342,0.488,0.425,2.216,0.009,0.006,2740.0,4135.0,1.0
"z_state[SE, 2019-08-11 00:00:00]",1.363,0.488,0.439,2.27,0.009,0.005,2794.0,3886.0,1.0
"z_state[SE, 2019-08-18 00:00:00]",1.38,0.485,0.471,2.288,0.009,0.006,2843.0,3969.0,1.0
"z_state[SE, 2019-08-25 00:00:00]",1.431,0.482,0.544,2.342,0.009,0.006,2845.0,3810.0,1.0
"z_state[SE, 2019-09-01 00:00:00]",1.482,0.481,0.575,2.375,0.009,0.006,2828.0,4013.0,1.0
"z_state[SE, 2019-09-08 00:00:00]",1.526,0.477,0.598,2.389,0.009,0.005,2716.0,3954.0,1.0
"z_state[SE, 2019-09-15 00:00:00]",1.523,0.484,0.614,2.439,0.009,0.006,2679.0,3637.0,1.0
"z_state[SE, 2019-09-22 00:00:00]",1.465,0.485,0.578,2.41,0.009,0.005,2819.0,3609.0,1.0
"z_state[SE, 2019-09-29 00:00:00]",1.383,0.489,0.519,2.365,0.009,0.005,2843.0,4011.0,1.0
"z_state[SE, 2019-10-06 00:00:00]",1.314,0.494,0.387,2.235,0.009,0.006,2914.0,4019.0,1.0
"z_state[SE, 2019-10-13 00:00:00]",1.223,0.503,0.272,2.154,0.009,0.006,3035.0,3885.0,1.0
"z_state[SE, 2019-10-20 00:00:00]",1.166,0.503,0.227,2.111,0.009,0.006,2967.0,3719.0,1.0
"z_state[SE, 2019-10-27 00:00:00]",1.194,0.491,0.298,2.134,0.009,0.005,2816.0,3292.0,1.0
"z_state[SE, 2019-11-03 00:00:00]",1.202,0.478,0.289,2.069,0.009,0.005,2736.0,3727.0,1.0
"z_state[SE, 2019-11-10 00:00:00]",1.07,0.488,0.139,1.955,0.009,0.005,2857.0,3980.0,1.0
"z_state[SE, 2019-11-17 00:00:00]",0.93,0.49,-0.001,1.815,0.009,0.005,2827.0,4056.0,1.0
"z_state[SE, 2019-11-24 00:00:00]",0.787,0.494,-0.122,1.695,0.009,0.005,2873.0,4329.0,1.0
"z_state[SE, 2019-12-01 00:00:00]",0.646,0.497,-0.261,1.575,0.01,0.005,2720.0,4088.0,1.0
"z_state[SE, 2019-12-08 00:00:00]",0.555,0.5,-0.396,1.45,0.009,0.005,2776.0,4324.0,1.0
"z_state[SE, 2019-12-15 00:00:00]",0.521,0.5,-0.445,1.436,0.01,0.005,2749.0,4194.0,1.0
"z_state[SE, 2019-12-22 00:00:00]",0.338,0.513,-0.663,1.263,0.009,0.005,2926.0,4038.0,1.0
"z_state[SE, 2019-12-29 00:00:00]",0.248,0.508,-0.676,1.221,0.009,0.006,2900.0,4228.0,1.0
"z_state[SE, 2020-01-05 00:00:00]",0.206,0.509,-0.723,1.207,0.009,0.006,2992.0,4571.0,1.0
"z_state[SE, 2020-01-12 00:00:00]",0.058,0.516,-0.895,1.056,0.009,0.006,3020.0,4482.0,1.0
"z_state[SE, 2020-01-19 00:00:00]",-0.083,0.52,-1.069,0.875,0.009,0.006,3030.0,4255.0,1.0
"z_state[SE, 2020-01-26 00:00:00]",-0.182,0.528,-1.158,0.816,0.01,0.006,3004.0,4573.0,1.0
"z_state[SE, 2020-02-02 00:00:00]",-0.213,0.533,-1.221,0.771,0.009,0.007,3220.0,3924.0,1.0
"z_state[SE, 2020-02-09 00:00:00]",-0.192,0.522,-1.208,0.74,0.01,0.006,2961.0,3917.0,1.0
"z_state[SE, 2020-02-16 00:00:00]",-0.091,0.517,-1.032,0.899,0.01,0.006,2909.0,3724.0,1.0
"z_state[SE, 2020-02-23 00:00:00]",0.111,0.508,-0.799,1.09,0.01,0.006,2725.0,3537.0,1.0
"z_state[SE, 2020-03-01 00:00:00]",0.43,0.495,-0.52,1.354,0.01,0.005,2631.0,3562.0,1.0
"z_state[SE, 2020-03-08 00:00:00]",0.742,0.48,-0.187,1.606,0.01,0.005,2442.0,3393.0,1.0
"z_state[SE, 2020-03-15 00:00:00]",0.819,0.484,-0.093,1.725,0.01,0.005,2538.0,3721.0,1.0
"z_state[SE, 2020-03-22 00:00:00]",0.847,0.49,-0.036,1.798,0.009,0.005,2740.0,3974.0,1.0
"z_state[SE, 2020-03-29 00:00:00]",0.894,0.495,-0.056,1.766,0.009,0.006,2717.0,4014.0,1.0
"z_state[SE, 2020-04-05 00:00:00]",1.02,0.494,0.031,1.862,0.009,0.006,2759.0,3671.0,1.0
"z_state[SE, 2020-04-12 00:00:00]",1.239,0.487,0.317,2.121,0.009,0.006,2678.0,3630.0,1.0
"z_state[SE, 2020-04-19 00:00:00]",1.443,0.478,0.574,2.356,0.009,0.005,2684.0,4210.0,1.0
"z_state[SE, 2020-04-26 00:00:00]",1.615,0.477,0.693,2.501,0.009,0.005,2662.0,4037.0,1.0
"z_state[SE, 2020-05-03 00:00:00]",1.855,0.478,0.978,2.761,0.009,0.006,2631.0,3692.0,1.0
"z_state[SE, 2020-05-10 00:00:00]",2.167,0.472,1.314,3.067,0.01,0.006,2457.0,3680.0,1.0
"z_state[SE, 2020-05-17 00:00:00]",2.472,0.468,1.571,3.324,0.009,0.006,2490.0,3852.0,1.0
"z_state[SE, 2020-05-24 00:00:00]",2.749,0.469,1.838,3.611,0.009,0.005,2465.0,3492.0,1.0
"z_state[SE, 2020-05-31 00:00:00]",3.031,0.467,2.133,3.88,0.009,0.006,2470.0,3677.0,1.0
"z_state[SE, 2020-06-07 00:00:00]",3.296,0.468,2.425,4.176,0.009,0.005,2548.0,3494.0,1.0
"z_state[SE, 2020-06-14 00:00:00]",3.511,0.468,2.608,4.353,0.009,0.005,2553.0,3652.0,1.0
"z_state[SE, 2020-06-21 00:00:00]",3.714,0.468,2.819,4.578,0.009,0.005,2499.0,3885.0,1.0
"z_state[SE, 2020-06-28 00:00:00]",3.92,0.465,3.056,4.8,0.009,0.005,2420.0,3770.0,1.0
"z_state[SE, 2020-07-05 00:00:00]",4.102,0.461,3.207,4.94,0.009,0.005,2415.0,3566.0,1.0
"z_state[SE, 2020-07-12 00:00:00]",4.178,0.462,3.217,4.972,0.01,0.005,2360.0,3829.0,1.0
"z_state[SE, 2020-07-19 00:00:00]",4.234,0.465,3.375,5.133,0.009,0.005,2475.0,3630.0,1.0
"z_state[SE, 2020-07-26 00:00:00]",4.272,0.468,3.401,5.148,0.009,0.006,2453.0,3190.0,1.0
"z_state[SE, 2020-08-02 00:00:00]",4.34,0.464,3.457,5.209,0.01,0.006,2356.0,2937.0,1.0
"z_state[SE, 2020-08-09 00:00:00]",4.319,0.464,3.424,5.167,0.01,0.006,2352.0,3630.0,1.0
"z_state[SE, 2020-08-16 00:00:00]",4.269,0.462,3.425,5.182,0.009,0.005,2470.0,3660.0,1.0
"z_state[SE, 2020-08-23 00:00:00]",4.198,0.472,3.276,5.057,0.01,0.006,2472.0,3815.0,1.0
"z_state[SE, 2020-08-30 00:00:00]",4.16,0.467,3.242,5.022,0.01,0.005,2410.0,3435.0,1.0
"z_state[SE, 2020-09-06 00:00:00]",4.117,0.468,3.27,5.022,0.01,0.005,2368.0,3601.0,1.0
"z_state[SE, 2020-09-13 00:00:00]",4.056,0.463,3.226,4.961,0.009,0.005,2383.0,3592.0,1.0
"z_state[SE, 2020-09-20 00:00:00]",3.953,0.467,3.099,4.836,0.009,0.005,2430.0,3776.0,1.0
"z_state[SE, 2020-09-27 00:00:00]",3.801,0.468,2.91,4.689,0.01,0.006,2389.0,3595.0,1.0
"z_state[SE, 2020-10-04 00:00:00]",3.629,0.471,2.767,4.538,0.01,0.006,2392.0,3482.0,1.0
"z_state[SE, 2020-10-11 00:00:00]",3.496,0.465,2.582,4.327,0.01,0.005,2349.0,3385.0,1.0
"z_state[SE, 2020-10-18 00:00:00]",3.33,0.466,2.44,4.191,0.009,0.005,2484.0,3414.0,1.0
"z_state[SE, 2020-10-25 00:00:00]",3.076,0.467,2.173,3.938,0.01,0.005,2419.0,3543.0,1.0
"z_state[SE, 2020-11-01 00:00:00]",2.818,0.47,1.887,3.654,0.009,0.005,2518.0,3529.0,1.0
"z_state[SE, 2020-11-08 00:00:00]",2.556,0.481,1.635,3.456,0.01,0.006,2504.0,3707.0,1.0
"z_state[SE, 2020-11-15 00:00:00]",2.363,0.483,1.477,3.272,0.01,0.006,2530.0,3944.0,1.0
"z_state[SE, 2020-11-22 00:00:00]",2.252,0.482,1.375,3.2,0.01,0.006,2544.0,3722.0,1.0
"z_state[SE, 2020-11-29 00:00:00]",2.212,0.476,1.299,3.09,0.01,0.005,2503.0,3835.0,1.0
"z_state[SE, 2020-12-06 00:00:00]",2.12,0.476,1.284,3.065,0.009,0.005,2523.0,3599.0,1.0
"z_state[SE, 2020-12-13 00:00:00]",1.97,0.49,0.991,2.836,0.01,0.005,2625.0,3852.0,1.0
"z_state[SE, 2020-12-20 00:00:00]",1.859,0.51,0.884,2.8,0.009,0.005,2887.0,4464.0,1.0
"z_state[SE, 2020-12-27 00:00:00]",1.81,0.547,0.745,2.806,0.01,0.006,3261.0,4397.0,1.0
"z_state[SP, 2015-01-04 00:00:00]",0.094,0.245,-0.361,0.558,0.004,0.003,3130.0,3731.0,1.0
"z_state[SP, 2015-01-11 00:00:00]",0.188,0.317,-0.43,0.756,0.007,0.004,2336.0,3555.0,1.0
"z_state[SP, 2015-01-18 00:00:00]",0.376,0.349,-0.312,1.001,0.008,0.004,1934.0,3661.0,1.0
"z_state[SP, 2015-01-25 00:00:00]",0.419,0.369,-0.267,1.104,0.009,0.004,1694.0,3390.0,1.0
"z_state[SP, 2015-02-01 00:00:00]",0.397,0.384,-0.317,1.137,0.009,0.005,1705.0,3318.0,1.0
"z_state[SP, 2015-02-08 00:00:00]",0.377,0.395,-0.39,1.103,0.01,0.005,1686.0,3303.0,1.0
"z_state[SP, 2015-02-15 00:00:00]",0.356,0.4,-0.386,1.105,0.01,0.005,1659.0,2804.0,1.0
"z_state[SP, 2015-02-22 00:00:00]",0.283,0.402,-0.45,1.058,0.01,0.005,1711.0,2765.0,1.0
"z_state[SP, 2015-03-01 00:00:00]",0.173,0.411,-0.602,0.934,0.01,0.005,1765.0,2609.0,1.0
"z_state[SP, 2015-03-08 00:00:00]",0.073,0.412,-0.696,0.841,0.01,0.005,1814.0,3005.0,1.0
"z_state[SP, 2015-03-15 00:00:00]",-0.013,0.414,-0.801,0.756,0.01,0.005,1785.0,2879.0,1.0
"z_state[SP, 2015-03-22 00:00:00]",-0.106,0.415,-0.902,0.648,0.01,0.005,1836.0,3013.0,1.0
"z_state[SP, 2015-03-29 00:00:00]",-0.182,0.42,-0.959,0.605,0.01,0.005,1959.0,2935.0,1.0
"z_state[SP, 2015-04-05 00:00:00]",-0.25,0.426,-1.047,0.577,0.01,0.005,1981.0,2969.0,1.0
"z_state[SP, 2015-04-12 00:00:00]",-0.275,0.432,-1.096,0.521,0.01,0.005,1931.0,3157.0,1.0
"z_state[SP, 2015-04-19 00:00:00]",-0.213,0.427,-1.0,0.584,0.01,0.005,1849.0,3028.0,1.0
"z_state[SP, 2015-04-26 00:00:00]",-0.242,0.429,-1.04,0.58,0.01,0.006,1893.0,2732.0,1.0
"z_state[SP, 2015-05-03 00:00:00]",-0.157,0.424,-1.004,0.595,0.01,0.005,1847.0,2924.0,1.0
"z_state[SP, 2015-05-10 00:00:00]",-0.112,0.431,-0.923,0.678,0.01,0.005,1874.0,3198.0,1.0
"z_state[SP, 2015-05-17 00:00:00]",-0.11,0.43,-0.923,0.698,0.01,0.005,1820.0,3090.0,1.0
"z_state[SP, 2015-05-24 00:00:00]",-0.081,0.429,-0.884,0.73,0.01,0.005,1732.0,3048.0,1.0
"z_state[SP, 2015-05-31 00:00:00]",-0.001,0.43,-0.824,0.77,0.01,0.005,1803.0,3061.0,1.0
"z_state[SP, 2015-06-07 00:00:00]",0.1,0.427,-0.656,0.941,0.01,0.005,1910.0,2882.0,1.0
"z_state[SP, 2015-06-14 00:00:00]",0.192,0.43,-0.599,1.01,0.01,0.005,1884.0,3000.0,1.0
"z_state[SP, 2015-06-21 00:00:00]",0.232,0.429,-0.527,1.065,0.01,0.005,1908.0,3157.0,1.0
"z_state[SP, 2015-06-28 00:00:00]",0.301,0.427,-0.515,1.107,0.01,0.005,1952.0,3173.0,1.0
"z_state[SP, 2015-07-05 00:00:00]",0.346,0.431,-0.488,1.123,0.01,0.005,1928.0,3176.0,1.0
"z_state[SP, 2015-07-12 00:00:00]",0.465,0.425,-0.312,1.286,0.01,0.005,1817.0,3051.0,1.0
"z_state[SP, 2015-07-19 00:00:00]",0.517,0.423,-0.303,1.28,0.01,0.005,1798.0,2910.0,1.0
"z_state[SP, 2015-07-26 00:00:00]",0.48,0.426,-0.322,1.266,0.01,0.005,1789.0,2536.0,1.0
"z_state[SP, 2015-08-02 00:00:00]",0.429,0.436,-0.396,1.22,0.01,0.005,1886.0,2958.0,1.0
"z_state[SP, 2015-08-09 00:00:00]",0.404,0.435,-0.455,1.18,0.01,0.005,1937.0,3222.0,1.0
"z_state[SP, 2015-08-16 00:00:00]",0.375,0.443,-0.465,1.177,0.01,0.005,1814.0,3455.0,1.0
"z_state[SP, 2015-08-23 00:00:00]",0.289,0.448,-0.526,1.17,0.01,0.006,1948.0,3174.0,1.0
"z_state[SP, 2015-08-30 00:00:00]",0.325,0.448,-0.523,1.151,0.01,0.006,1923.0,3633.0,1.0
"z_state[SP, 2015-09-06 00:00:00]",0.396,0.443,-0.423,1.231,0.01,0.006,1972.0,3509.0,1.0
"z_state[SP, 2015-09-13 00:00:00]",0.499,0.438,-0.299,1.323,0.01,0.005,1890.0,3491.0,1.0
"z_state[SP, 2015-09-20 00:00:00]",0.572,0.433,-0.261,1.375,0.01,0.005,1839.0,3380.0,1.0
"z_state[SP, 2015-09-27 00:00:00]",0.705,0.428,-0.133,1.491,0.01,0.005,1918.0,3096.0,1.0
"z_state[SP, 2015-10-04 00:00:00]",0.771,0.427,-0.046,1.574,0.01,0.005,1881.0,3332.0,1.0
"z_state[SP, 2015-10-11 00:00:00]",0.914,0.42,0.116,1.715,0.01,0.005,1809.0,3406.0,1.0
"z_state[SP, 2015-10-18 00:00:00]",1.017,0.417,0.225,1.812,0.01,0.005,1772.0,3161.0,1.0
"z_state[SP, 2015-10-25 00:00:00]",1.016,0.416,0.217,1.781,0.01,0.005,1741.0,3626.0,1.0
"z_state[SP, 2015-11-01 00:00:00]",1.008,0.417,0.217,1.784,0.01,0.005,1798.0,3409.0,1.0
"z_state[SP, 2015-11-08 00:00:00]",1.03,0.424,0.234,1.837,0.01,0.005,1833.0,3156.0,1.0
"z_state[SP, 2015-11-15 00:00:00]",1.172,0.42,0.358,1.945,0.01,0.005,1842.0,3672.0,1.0
"z_state[SP, 2015-11-22 00:00:00]",1.315,0.417,0.494,2.079,0.01,0.005,1747.0,2994.0,1.0
"z_state[SP, 2015-11-29 00:00:00]",1.417,0.415,0.627,2.173,0.01,0.005,1733.0,3121.0,1.0
"z_state[SP, 2015-12-06 00:00:00]",1.542,0.41,0.818,2.356,0.01,0.005,1666.0,3065.0,1.0
"z_state[SP, 2015-12-13 00:00:00]",1.65,0.406,0.895,2.434,0.01,0.005,1669.0,2889.0,1.0
"z_state[SP, 2015-12-20 00:00:00]",1.798,0.407,1.021,2.543,0.01,0.005,1685.0,2810.0,1.0
"z_state[SP, 2015-12-27 00:00:00]",1.872,0.411,1.079,2.63,0.01,0.005,1738.0,2954.0,1.0
"z_state[SP, 2016-01-03 00:00:00]",2.07,0.404,1.294,2.807,0.01,0.005,1619.0,2571.0,1.0
"z_state[SP, 2016-01-10 00:00:00]",2.236,0.398,1.492,2.983,0.01,0.005,1651.0,2390.0,1.0
"z_state[SP, 2016-01-17 00:00:00]",2.411,0.396,1.664,3.141,0.01,0.005,1579.0,2597.0,1.0
"z_state[SP, 2016-01-24 00:00:00]",2.565,0.393,1.805,3.295,0.01,0.005,1493.0,3080.0,1.0
"z_state[SP, 2016-01-31 00:00:00]",2.67,0.387,1.928,3.38,0.01,0.005,1491.0,3277.0,1.0
"z_state[SP, 2016-02-07 00:00:00]",2.636,0.392,1.892,3.353,0.01,0.005,1496.0,2690.0,1.0
"z_state[SP, 2016-02-14 00:00:00]",2.533,0.395,1.805,3.293,0.01,0.005,1523.0,2883.0,1.0
"z_state[SP, 2016-02-21 00:00:00]",2.426,0.4,1.713,3.212,0.01,0.005,1566.0,2811.0,1.0
"z_state[SP, 2016-02-28 00:00:00]",2.361,0.4,1.61,3.092,0.01,0.005,1554.0,2558.0,1.0
"z_state[SP, 2016-03-06 00:00:00]",2.311,0.404,1.585,3.09,0.01,0.005,1554.0,2688.0,1.0
"z_state[SP, 2016-03-13 00:00:00]",2.255,0.405,1.516,3.046,0.01,0.005,1614.0,2969.0,1.0
"z_state[SP, 2016-03-20 00:00:00]",2.243,0.397,1.508,2.988,0.01,0.005,1592.0,2670.0,1.0
"z_state[SP, 2016-03-27 00:00:00]",2.196,0.394,1.485,2.967,0.01,0.005,1511.0,2696.0,1.0
"z_state[SP, 2016-04-03 00:00:00]",2.102,0.392,1.419,2.881,0.01,0.005,1540.0,2653.0,1.0
"z_state[SP, 2016-04-10 00:00:00]",1.925,0.41,1.178,2.72,0.01,0.005,1659.0,2606.0,1.0
"z_state[SP, 2016-04-17 00:00:00]",1.867,0.405,1.102,2.619,0.01,0.005,1604.0,2619.0,1.0
"z_state[SP, 2016-04-24 00:00:00]",1.865,0.405,1.095,2.597,0.01,0.005,1563.0,2966.0,1.0
"z_state[SP, 2016-05-01 00:00:00]",1.84,0.402,1.088,2.607,0.01,0.005,1550.0,2511.0,1.0
"z_state[SP, 2016-05-08 00:00:00]",1.656,0.409,0.858,2.386,0.01,0.005,1596.0,2965.0,1.0
"z_state[SP, 2016-05-15 00:00:00]",1.447,0.409,0.649,2.189,0.01,0.005,1649.0,2738.0,1.0
"z_state[SP, 2016-05-22 00:00:00]",1.249,0.417,0.478,2.025,0.01,0.005,1749.0,3329.0,1.0
"z_state[SP, 2016-05-29 00:00:00]",1.157,0.42,0.391,1.964,0.01,0.005,1798.0,3089.0,1.0
"z_state[SP, 2016-06-05 00:00:00]",1.108,0.418,0.283,1.842,0.01,0.005,1693.0,2625.0,1.0
"z_state[SP, 2016-06-12 00:00:00]",1.065,0.422,0.264,1.83,0.01,0.005,1761.0,3030.0,1.0
"z_state[SP, 2016-06-19 00:00:00]",1.061,0.422,0.232,1.819,0.01,0.005,1711.0,3030.0,1.0
"z_state[SP, 2016-06-26 00:00:00]",1.173,0.417,0.353,1.914,0.01,0.005,1689.0,2739.0,1.0
"z_state[SP, 2016-07-03 00:00:00]",1.268,0.42,0.468,2.025,0.01,0.005,1625.0,2550.0,1.0
"z_state[SP, 2016-07-10 00:00:00]",1.34,0.424,0.544,2.148,0.01,0.005,1718.0,2843.0,1.0
"z_state[SP, 2016-07-17 00:00:00]",1.431,0.421,0.638,2.216,0.011,0.005,1605.0,2451.0,1.0
"z_state[SP, 2016-07-24 00:00:00]",1.463,0.419,0.683,2.26,0.01,0.006,1673.0,2746.0,1.0
"z_state[SP, 2016-07-31 00:00:00]",1.552,0.42,0.776,2.355,0.01,0.005,1786.0,2758.0,1.0
"z_state[SP, 2016-08-07 00:00:00]",1.579,0.418,0.804,2.373,0.01,0.005,1770.0,2432.0,1.0
"z_state[SP, 2016-08-14 00:00:00]",1.511,0.415,0.674,2.243,0.009,0.005,1914.0,2762.0,1.0
"z_state[SP, 2016-08-21 00:00:00]",1.428,0.422,0.615,2.216,0.01,0.005,1919.0,2882.0,1.0
"z_state[SP, 2016-08-28 00:00:00]",1.47,0.416,0.672,2.246,0.01,0.005,1853.0,2760.0,1.0
"z_state[SP, 2016-09-04 00:00:00]",1.512,0.418,0.722,2.266,0.01,0.005,1832.0,2707.0,1.0
"z_state[SP, 2016-09-11 00:00:00]",1.463,0.419,0.659,2.253,0.01,0.005,1778.0,2775.0,1.0
"z_state[SP, 2016-09-18 00:00:00]",1.408,0.421,0.619,2.201,0.01,0.005,1847.0,3015.0,1.0
"z_state[SP, 2016-09-25 00:00:00]",1.425,0.424,0.61,2.212,0.01,0.005,1859.0,3058.0,1.0
"z_state[SP, 2016-10-02 00:00:00]",1.558,0.413,0.785,2.323,0.01,0.005,1641.0,2806.0,1.0
"z_state[SP, 2016-10-09 00:00:00]",1.518,0.416,0.761,2.306,0.01,0.005,1691.0,2664.0,1.0
"z_state[SP, 2016-10-16 00:00:00]",1.503,0.413,0.732,2.286,0.01,0.005,1740.0,2986.0,1.0
"z_state[SP, 2016-10-23 00:00:00]",1.508,0.417,0.773,2.319,0.01,0.005,1771.0,3129.0,1.0
"z_state[SP, 2016-10-30 00:00:00]",1.652,0.406,0.923,2.458,0.01,0.005,1750.0,2972.0,1.0
"z_state[SP, 2016-11-06 00:00:00]",1.737,0.403,0.979,2.493,0.01,0.005,1794.0,3097.0,1.0
"z_state[SP, 2016-11-13 00:00:00]",1.79,0.408,1.024,2.567,0.01,0.005,1769.0,3043.0,1.0
"z_state[SP, 2016-11-20 00:00:00]",1.819,0.412,1.062,2.619,0.01,0.005,1656.0,2627.0,1.0
"z_state[SP, 2016-11-27 00:00:00]",1.866,0.412,1.036,2.597,0.01,0.005,1666.0,3108.0,1.0
"z_state[SP, 2016-12-04 00:00:00]",1.927,0.412,1.113,2.67,0.01,0.005,1734.0,3212.0,1.0
"z_state[SP, 2016-12-11 00:00:00]",1.973,0.409,1.208,2.732,0.01,0.005,1706.0,2770.0,1.0
"z_state[SP, 2016-12-18 00:00:00]",2.068,0.403,1.317,2.822,0.01,0.005,1625.0,3137.0,1.0
"z_state[SP, 2016-12-25 00:00:00]",2.18,0.399,1.441,2.937,0.01,0.005,1690.0,2838.0,1.0
"z_state[SP, 2017-01-01 00:00:00]",2.203,0.4,1.445,2.938,0.01,0.005,1583.0,2838.0,1.0
"z_state[SP, 2017-01-08 00:00:00]",2.186,0.398,1.411,2.907,0.01,0.005,1607.0,2757.0,1.0
"z_state[SP, 2017-01-15 00:00:00]",2.115,0.4,1.347,2.872,0.01,0.005,1653.0,2610.0,1.0
"z_state[SP, 2017-01-22 00:00:00]",2.031,0.398,1.296,2.796,0.01,0.005,1624.0,2552.0,1.0
