parameter,r_hat,ess_bulk
z_innov_s|AL|2016-10-02 00:00:00,1.003991020476084,13557.162136228982
z_innov_s|AL|2016-10-09 00:00:00,1.0001672887936757,11660.221633740923
z_innov_s|AL|2016-10-16 00:00:00,1.0000500683714169,11485.190421952791
z_innov_s|AL|2016-10-23 00:00:00,1.0001516730814257,10137.626594638376
z_innov_s|AL|2016-10-30 00:00:00,1.0007501316900884,12443.49727535653
z_innov_s|AL|2016-11-06 00:00:00,1.000375571920895,12393.807750483746
z_innov_s|AL|2016-11-13 00:00:00,1.0014537430274337,12162.536000595057
z_innov_s|AL|2016-11-20 00:00:00,1.000770664889689,10737.586237479762
z_innov_s|AL|2016-11-27 00:00:00,1.000013014339209,10202.51939496396
z_innov_s|AL|2016-12-04 00:00:00,1.000200130507847,10491.149354524205
